attr,term,type,l1,l2,criteria,ill,source,volume
,ПАШЕННЫЕ КРЕСТЬЯНЕ,понятие,ИСТОРИЯ,,,,,
,ЯКУТСКИЕ ДЕПУТАЦИИ,понятие,ИСТОРИЯ,,,,,
,"Адиянов Григорий Прокопьевич, отл. кинематографии СССР ",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Александров Прокопий Иванович, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Аманатов Константин Петрович, засл. раб. культ. ЯАССР, отл. к/м СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,Аммосов Иннокентий Иванович,биография,Кино,,,словарь,,
,"Анохина Нина Дмитриевна, засл. раб. культ. ЯАССР, отл. кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,Аржаков Никита Иннокентьевич,биография,Кино,,,словарь,,
,"Артемьев Василий Гаврильевич, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Афанасьев Василий Севостьянович, засл. раб. культ. ЯАССР, отл. к/м СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Афанасьева Анна Лазаревна, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Бабита Николай Николаевич, засл. раб. культ. ЯАССР, отл. кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Багынанов Геннадий Геннадьевич, отличник культуры РС(Я)",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Бакатов Прокопий Михайлович, засл. раб. культ. ЯАССР, отл. к/м СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Барашков Михаил Николаевич, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Беляев Семен Гаврильевич, засл. раб. культ. ЯАССР, отл. кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Бережнев Юрий Степанович, засл. деятель иск-в РС(Я), отличник культуры РС(Я)",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Бочкин Владимир Давыдович, нач. отдела кинофикации МК ЯАССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Бояркин Петр Николаевич, засл. работник культуры РС(Я)",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Будко Степан Иванович, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Бурнашев Петр Романович, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Васильев Анатолий Иванович, засл. работник культуры РС(Я)",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Васильев Иван Семенович, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Верховинский Василий Александрович, возглавлял киносеть респ. 1935-1938 ",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Винокуров Егор Тарасович, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Винокуров Никита Гаврилович, засл. раб. культ. РС(Я), отл. кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,Войнов (Воинов) Анатолий Павлович,биография,Кино,,"работник кино, поч.звание или знак",,,
,"Габышев Николай Андриянович, засл. работник н/х ЯАССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Гаврат Лидия Степановна, засл. раб. культ. ЯАССР, отл. кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Глазов Николай Кириллович, нач. кинофикации 1939-1942",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Голиков Николай Алексеевич, засл. раб. культ. ЯАССР, отл. кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Готовцев Иннокентий Иннокентьевич, поч. киноматографист России",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Гуляев Петр Христофорович, засл. работник н/х ЯАССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Данилов Александр Джурович, отличник культуры РС(Я)",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Дмитриева Татьяна Евгеньевна, засл. раб. культ. РС(Я), отл. кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,Жараев Иван Спиридонович,биография,Кино,,,словарь,,
,"Жондоров Николай Никифорович, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Заболоцкая Анастасия Степановна, почетный кинематографист РФ",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Заливин Андрей Михайлович, отл. к/м СССР, засл. работник культуры ЯАССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Золотарев Николай Дмитриевич, засл. работник культуры ЯАССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Зуев Георгий Михайлович, засл. раб. культ. ЯАССР, отл. кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Иванов Ким Дмитриевич, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Иванов Ким Ефимович, отл. кинематографии СССР, засл. раб. культ. РФ",биография,Кино,,"работник кино, поч.звание или знак",,,
,"Иванова Фатима Наумовна, отличник кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
,Игнатьева Мария Васильевна,биография,Кино,,,словарь,,
,"Ильинов Афанасий Степанович, засл. раб. н/х РС(Я), отл. кинематографии СССР",биография,Кино,,"работник кино, поч.звание или знак",,,
?,Национальный центр аудиовизуального наследия народов РС(Я) им. И.С. Жараева»  Государственное автономное учреждение «,понятие,Кино,,учреждение культуры,словарь,,
?,"Сахафильм», Государственная национальная кинокомпания",понятие,Кино,,учреждение культуры,словарь,,
,"Абрамова Ирина Васильевна, засл. раб. культ. РС(Я), отл. с/х РС(Я), отл. культ. РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Адамов Владимир Егорович, засл. работник культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Академия духовности РС(Я),понятие,КУЛЬТ,,учебное заведение,И,словарь,
,"Акимова Акулина Николаевна, засл. артистка РС(Я), отличник культуры РС(Я)",биография,КУЛЬТ,,артист,,,
,Алданский районный Дом культуры,понятие,КУЛЬТ,,учреждение культуры,И,,
,Алексеев Василий Семенович,биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Аманатова Варвара Аркадьевна, засл. артистка РС(Я)",биография,КУЛЬТ,,артист,,,
,Амгинская детская школа искусств им. А.А. Черемных ,понятие,КУЛЬТ,,учебное заведение,И,,
,"Аммосов Афанасий Дмитриевич, отличник культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Аммосов Егор Егорович, народный мастер РС(Я)",биография,КУЛЬТ,,народный мастер,,,
,"Аммосов Семен Иванович, засл. артист РС(Я), отличник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Аммосова Екатерина Макаровна, засл. раб. культуры РС(Я), отл. культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Анастатова Мария Степановна,биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Андреева Ксения Илларионовна, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Анисимова Мария Афанасьевна, засл. раб. культ. ЯАССР, отл. культ. СССР ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Антонова Светлана Георгиевна, отл. культуры РФ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Аргунов Федот Семенович,биография,КУЛЬТ,,"работник культ., поч.звание или знак",,словарь,
,"Аргунова Александра Гавриловна – КҮƟРЭГЭЙ, засл. деятель иск-в РС(Я)",биография,КУЛЬТ,,артист,,,
,Арктический гос. институт культуры и искусств,понятие,КУЛЬТ,,учебное заведение,И,словарь,
,"Артамонов Илья Иванович, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Артемьев Василий Сергеевич, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Архиерейский хор,понятие,КУЛЬТ,,творческий коллектив,И,словарь,
,"Архипова Любовь Егоровна, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Аскарова Зоя Аскаровна,биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Атласов Илья Николаевич, засл. работник культуры РС(Я), отл. культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Атласов Николай Владимирович, орд. «Знак Почета», 2 орд. Труд. Кр. Знамени",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Атласова Амалия Андреевна, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Афанасенко Станислав Максимович,биография,КУЛЬТ,,,,словарь,
,Афанасьев Алексей Никифорович,биография,КУЛЬТ,,,,,
,Афанасьев Афанасий Иванович,биография,КУЛЬТ,,,,,
,Афанасьев Михаил Иванович ,биография,КУЛЬТ,,,,,
,"Афанасьева Тамара Романовна, засл. раб. культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,,,,
,"Багульник, народный ансамбль песни и танца",понятие,КУЛЬТ,,творческий коллектив,И,,
,"Бажов Николай Иванович, композитор",биография,КУЛЬТ,,композитор,,,
,"Базалева Наталья Владимировна, засл. деятель иск-в РС(Я)",биография,КУЛЬТ,,,,,
,Белоусова Тамара Гавриловна ,биография,КУЛЬТ,,,,,
,"Беляев Валерий Федорович, засл. деятель иск-в РС(Я), отличник культуры РС(Я)",биография,КУЛЬТ,,,,,
,"Березкин Александр Анатольевич, засл. артист РС(Я)",биография,КУЛЬТ,,артист,,,
,"Бойлохов Николай Иванович, отличник культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Боппоенова Мария Гаврильевна ,биография,КУЛЬТ,,,,,
,"Борисов Радомир Пантелеймонович, засл. деят. иск-в РС(Я), отл. культуры СССР",биография,КУЛЬТ,,,,,
,Борисова Татьяна Семеновна,биография,КУЛЬТ,,,,,
,"Боронов Иннокентий Афанасьевич, засл. раб. культуры РС(Я), отл. культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Босиков Василий Афанасьевич,биография,КУЛЬТ,,,,словарь,
,"Брызгалов Исай Исакович, засл. работник культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Бубякин Егор Петрович, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Бубякин Иван Афанасьевич,биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Бугулова Саргылана Даниловна, засл. артистка РС(Я), отличник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Будищев Рево Петрович –ХОНТОЙ, засл. раб. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Бурнашева Капиталина Ивановна, засл. раб. культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Бурнашева Татьяна Павловна, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Бурцев Иван Иванович, засл. деятель иск-в РС(Я)",биография,КУЛЬТ,,,,,
,"Варламова Александра Васильевна, засл. раб. культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Варламова Галина Иннокентьевна, засл. раб. культ. РС(Я), отл. культ. СССР, РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Варламова Елизавета Егоровна, отличник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Варламова Тамара Егоровна,биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Васильев Владимир Васильевич, засл. раб. культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Васильев Гаврил Иванович, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Васильев Ефим Николаевич, засл. работник н/х РС(Я), отл. культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Васильев Иван Федорович, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Васильев Семен Гаврильевич, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Васильев Степан Иванович, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Васильева Люция Никандровна, отличник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Васильева Маргарита Владимировна,биография,КУЛЬТ,,,,словарь,
,"Васильева Матрена Егоровна, отличник культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Васильева Нина Николаевна, отличник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Васильева Раиса Тимофеевна,биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Верхневилюйская детская школа искусств им. Н.И. Бойлохова,понятие,КУЛЬТ,,учебное заведение,И,,
,Верхневилюйский народный оркестр,понятие,КУЛЬТ,,творческий коллектив,И,словарь,
,"Вечерка, народный фольклорный коллектив",понятие,КУЛЬТ,,творческий коллектив,И,,
,Вешникова Полина Спиридоновна,биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Вилюйская детская школа искусств им. М.Н. Жиркова,понятие,КУЛЬТ,,учебное заведение,,,
,Винокуров Василий Павлович,биография,КУЛЬТ,,,,словарь,
,"Винокурова Галина Прокопьевна, засл. учитель школ ЯАССР, отл. культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Винокурова Ольга Алексеевна, засл. раб. культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
?,Виртуозы Якутии» Государственный ансамбль скрипачей РС(Я) «,понятие,КУЛЬТ,,творческий коллектив,И,словарь,
,"Воронкова Елена Павловна, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Высшая школа музыки РС(Я),понятие,КУЛЬТ,,учреждение культуры,И,словарь,
,"Габышев Михаил Прокопьевич, засл. раб. культ. ЯАССР ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Габышева Лариса Иннокентьевна,биография,КУЛЬТ,,,,словарь,
,"Гаврильев Семен Петрович, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Гвахария Елизавета Иосифовна, засл. деятель иск-в ЯАССР",биография,КУЛЬТ,,,,,
,Гвоздева Людмила Ивановна,биография,КУЛЬТ,,,,,
,"Герасимов Валерий Петрович, засл. работник культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Герасимов Еремей Тимофеевич, засл. раб. культ. РСФСР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Герасимов Кирилл Афанасьевич, засл. деятель иск-в РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Герасимова Альбина Ильинична, засл. раб. обр. РС(Я), отл. культуры РС(Я) ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Гоголев Александр Николаевич, засл. деятель иск-в РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Гоголев Семен Иннокентьевич – АМЫННЬЫКЫ УУС, засл. раб. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Гоголева Марта Романовна, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Гоголева Светлана Сергеевна, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Гоголева Татьяна Афанасьевна, засл. раб. культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Голикова Елена Федоровна, засл. деятель иск-в РС(Я), отличник культуры РС(Я)",биография,КУЛЬТ,,,,,
,"Голубь Лена Иннокентьевна, засл. работник культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
?,Городской центр. парк культуры и отдыха,понятие,КУЛЬТ,,учреждение культуры,И,словарь,
,Государственная филармония РС(Я) им. Г.М. Кривошапко,понятие,КУЛЬТ,,учреждение культуры,И,,
?,Государственный гимн РС(Я),понятие,КУЛЬТ,,символика,,,
?,Государственный концертный оркестр Якутии,понятие,КУЛЬТ,,творческий коллектив,И,словарь,
?,Государственный цирк РС(Я),понятие,КУЛЬТ,,творческий коллектив,И,словарь,
,"Готовцев Роман Ильич – МЫНДЫР УУС, народный мастер РС(Я)",биография,КУЛЬТ,,народный мастер,,,
,Григорьев Святослав Павлович,биография,КУЛЬТ,,,,,
,Гулун» (народный ансамбль танца),понятие,КУЛЬТ,,творческий коллектив,И,словарь,
,"Гумурзаков Тагир Степанович, засл. раб. культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Гунин Борис Григорьевич, рук. ЯГМТ",биография,КУЛЬТ,,руководитель,,,
,Гурьева Татьяна Андреевна,биография,КУЛЬТ,,,,,
,"Давыдов Илья Евсеевич, отличник культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Данилкина Тамара Лазаревна, засл. работник культуры РС(Я), отл. культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Данилова Марфа Тихоновна – ХАТЫННААЙА, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Дарбашкеева Мария Константиновна, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Детская школа искусств (г. Мирный),понятие,КУЛЬТ,,учебное заведение,И,словарь,
,Детская школа искусств (г. Нерюнгри),понятие,КУЛЬТ,,учебное заведение,И,,
,Детская школа искусств № 1 г. Якутска,понятие,КУЛЬТ,,учебное заведение,И,,
,Детская школа искусств №2 г. Якутска,понятие,КУЛЬТ,,учебное заведение,,,
,Детская школа искусств им. Ф.С. Аргунова (с. Ытык-Кель),понятие,КУЛЬТ,,учебное заведение,И,,
,"Дмитриева Татьяна Павловна, засл. работник культуры РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Додохов Василий Николаевич, засл. работник культуры ЯАССР ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Докалова Надежда Петровна, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Дом дружбы народов – республиканский Центр культуры и традиционного худож. творчества им. А.Е. Кулаковского,понятие,КУЛЬТ,,учреждение культуры,И,словарь,
,"Допилко Михаил Михайлович, засл. раб. культуры РС(Я) ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Дружба, детский народный ансамбль танца",понятие,КУЛЬТ,,творческий коллектив,И,,
,"Дудогло Валентина Даниловна, засл. раб. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Дьүрүл, народный ансамбль хомусистов ",понятие,КУЛЬТ,,творческий коллектив,И,,
,"Дьячковская Дина Дмитриевна, засл. работник культуры ЯАССР ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Дьячковский Василий Николаевич, отличник культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Дьячковский Егор Семенович, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Дьячковский Степан Дмитриевич, народный мастер РС(Я)",биография,КУЛЬТ,,народный мастер,,,
,"Евсеев Егор Григорьевич, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Егоров Андриян Анатольевич, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Егоров Николай Дмитриевич, засл. раб. культуры ЯАССР ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Егоров Павел Павлович, засл. работник культуры РС(Я) ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Егорова Ирина Андроновна, отличник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Едукин Егор Васильевич, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Едукина Анна Степановна, народный мастер",биография,КУЛЬТ,,народный мастер,,,
,"Еремеев Петр Алексеевич, засл. работник культуры РС(Я) ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Ермолаев Анатолий Петрович, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Ефимов Гаврил Дмитриевич, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Ефремов Гаврил Алексеевич, министр культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Заболоцкая Надежда Михайловна, засл. работник культуры ЯАССР ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Заболоцкий Владимир Ильич, народный артист РС(Я), засл. артист РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Заболоцкий Максим Иванович, засл. работник культуры ЯАССР ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Зайкова Надежда Михайловна, засл. раб. культ. РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Захаров Владимир Иннокентьевич, засл. раб. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Захаров Иван Федорович – КЫЛЫАДЬЫ УУС, засл. раб. культуры ЯАССР ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Захарова Вера Петровна, засл. раб культ. РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Захарова Екатерина Петровна, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Захарова Роза Владимировна, засл. раб. культ. РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Зверев Арсений Григорьевич, засл. работник культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Звонкова Александра Яковлевна, засл. раб. культ. РС(Я), отл. культ. СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Зинурова Светлана Ефимовна, засл. раб. культуры ЯАССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Зорина Людмила Капитоновна,  засл. раб. культуры ЯАССР ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Зырянов Василий Алексеевич,биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Иванов Валерий Герасимович, засл. раб. культ. РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Иванов Владимир Семенович, засл. артист РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Иванов Дмитрий Семенович, засл. раб. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,Иванов Семен Дмитриевич,биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Иванов Семен Иннокентьевич, засл. раб. культ. РС(Я), отл. культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Иванова Галина Вахитовна, засл. работник культуры РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Иванова Ефросинья Михайловна, отличник культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Иванова Ирина Давыдовна, нар. мастер РС(Я)",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Иванова Мария Ивановна, засл. раб. культуры РС(Я), отл. культуры СССР",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Иванова Полина Николаевна, засл. деятель иск-в РС(Я)",биография,КУЛЬТ,,,,,
,"Иванова Светлана Павловна, засл. деятель иск-в РС(Я)",биография,КУЛЬТ,,,,,
,"Иванова Фекла Сергеевна, народный мастер РС(Я)",биография,КУЛЬТ,,народный мастер,,,
,Игнатьев Николай Лукич - БИЛГЭ,биография,КУЛЬТ,,,,,
,"Игнатьева Саргылана Семеновна, канд. пед. наук, отличник культуры РС(Я)",биография,КУЛЬТ,,ученый,,,
,"Игнатьева Яна Викторовна, засл. работник культуры РС(Я), ",биография,КУЛЬТ,,"работник культ., поч.звание или знак",,,
,"Илларионова Нюргуяна Ивановна, канд. искусствоведения",биография,КУЛЬТ,,ученый,,,
?,"Туймаада», Государственный ансамбль",понятие,КУЛЬТ,,творческий коллектив,И,словарь,
,ЧУРАПЧИНСКИЙ НАРОДНЫЙ ТЕАТР ИМЕНИ П.М. РЕШЕТНИКОВА,понятие,Культ,,,,,
,Абыйский краеведческий музей,понятие,культура,,музеи,И,,
,"Аввакумов Еремей Кузьмич, засл. работник культуры РС(Я)",биография,культура,,музеи,,,
,Алданский историко-краеведческий музей,понятие,культура,,музеи,И,,
,"Алексеева Аида Николаевна, засл. раб. культуры ЯАССР (111-112)",биография,культура,,музеи,,,
,Аллаиховский музей природы тундры и охотничьего хозяйства им. Д.А. Лебедева,понятие,культура,,музеи,И,,
,Амгинский музей истории гражданской войны в Якутии,понятие,культура,,музеи,И,,
,Анабарский улусный краеведческо-этнографический музей,понятие,культура,,музеи,И,,
,"Андросов Егор Дмитриевич, засл. раб. культуры ЯАССР (с.89)",биография,культура,,музеи,,,
,"Андросов Прокопий Харлампьевич, засл. раб. культуры РС(Я) (с.99)",биография,культура,,музеи,,,
,"Анисимов Иван Алексеевич, засл. раб. культуры РС(Я) (с.202-203)",биография,культура,,музеи,,,
,"Антонов Александр Кимович, засл. раб. культ. РС(Я), отл. культ. РС(Я)",биография,культура,,музеи,,,
,Атласов Василий Николаевич,биография,культура,,музеи,,,
,Атласова  Валентина Иннокентьевна,биография,культура,,музеи,,,
,"Афанасьев Петр Алексеевич, организатор первого частного музея (с.14-15)",биография,культура,,музеи,,,
н,Балет,понятие,Культура,театр,вид искусства,,,
,Бердигестяхский краеведческий музей,понятие,культура,,музеи,И,,
,"Бережнова Александра Николаевна, засл. работник культуры РС(Я)",биография,культура,,музеи,,,
н,Библиография,понятие,Культура,,,,,
,"БИБЛИОТЕКА ДЛЯ СЛЕПЫХ, ЯКУТСКАЯ РЕСПУБЛИКАНСКАЯ",понятие,КУЛЬТУРА,библиотеки,респ. библиотека,,,
н,Библиотеки,понятие,Культура,,,,,
,Борогонский музей истории улуса,понятие,культура,,музеи,И,,
,"Васильев Иннокентий Тихонович, засл. работник культуры ЯАССР",биография,культура,,музеи,,,
,Верхневилюйский музей истории и этнографии,понятие,культура,,музеи,И,,
,Вилюйский краеведческий музей им. П.Х. Староватова,понятие,культура,,музеи,И,,
,Вилюйский музей истории народного образования им. Г.С. Донского,понятие,культура,,музеи,И,,
,"Винокуров Петр Васильевич, канд. ист. наук, отл. культуры СССР",биография,культура,,музеи,,,
,"Воробьев Сергей Анатольевич, засл. раб. культ. РС(Я), отл. культ. РС(Я)",биография,культура,,музеи,,,
,Габышева Ася Львовна,биография,культура,,музеи,,,
,Дом-музей Ем. Ярославского,понятие,культура,,музеи,И,,
н,дьиэрэтии ырыа,понятие,Культура,народная музыка,эпический стиль,,,
н,дэгэрэн ырыа,понятие,Культура,народная музыка,эпический стиль,,,
,Дюпсюнский музей космонавтики и авиации,понятие,культура,,музеи,И,,
