attr,term,type,l1,l2,criteria,ill,source,volume
,Гермогенов Георгий Устинович,биография,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,архитектор,словарь,,
?,Главные архитекторы г. Якутска,понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,должность,,,
,"Данилов Андрей Лукич, засл. строитель РС(Я)",понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,архитектор,,,
,Данилов Станислав Васильевич,биография,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,архитектор,словарь,,
,Деревянное зодчество,понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,направление,словарь,,
,Детский эстетический центр в п. Хандыга,понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,учреждение доп. Искусства,И,,
,Дынин Владимир Михайлович,биография,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,архитектор,словарь,,
,"Жирков Анатолий Николаевич, засл. арх. РС(Я) ",понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,архитектор,,,
,Зашиверская церковь,понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,памятник архитектуры,словарь,,
?,Комитета драгметаллов здание,понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,памятник архитектуры,И,,
?,Мужской классической прогимназии здание,понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,памятник архитектуры,И,,
?,Областного казначейства здание,понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,памятник архитектуры,И,,
?,Якутского окружного суда здание,понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,памятник архитектуры,И,,
?,Якутского реального училища здание,понятие,КУЛЬТУРА И ИСКУССТВО,АРХИТЕКТУРА,памятник архитектуры,И,,
,Абыйский  улус (район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Алданский район,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Аллаиховский улус,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Амгинский улус (район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Анабарский национальный (долгано-эвенкийский) улус (район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Булунский улус (район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Верхневилюйский улус (район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Верхнеколымский улус (район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Верхоянский район,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Вилюйский улус (район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Горный улус (район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,Жиганский эвенкийский национальный улус,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,И,,
,СРЕДНЕКОЛЫМСКИЙ УЛУС,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,,,
,ХАНГАЛАССКИЙ УЛУС,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм. район,,,
н,Административный район,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм.-терр. ед.,,,
н,Воеводство,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм.-терр. ед.,,,
н,ЕНИСЕЙСКИЙ УЕЗД,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм.-терр. ед.,,,
н,Иркутская губерния,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм.-терр. ед.,,,
н,Иркутское наместничество,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм.-терр. ед.,,,
н,Комиссарство,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм.-терр. ед.,,,
,ЯКУТСКАЯ ПРОВИНЦИЯ,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,адм.-терр. ед.,,,
н,Город,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,вид поселения,,,
н,Губерния,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,вид поселения,,,
н,Поселок городского типа,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,вид поселения,,,
